measurement_id,sample_id,source_id,paper_id,experiment_group_id,catalyst_system_group,base_material,material_class,catalyst_additive,catalyst_family,catalyst_composition,catalyst_components,catalyst_elements,support_material,catalyst_loading_wt_pct,preparation_method,milling_time_h,milling_speed_rpm,ball_to_powder_ratio,mgh2_particle_size_raw,catalyst_particle_size_raw,measurement_mode,experimental_method,temperature_c,pressure_bar,pressure_relation,duration_seconds,hydrogen_capacity_wt_pct,capacity_basis,value_qualifier,extraction_type,source_pdf_page,source_locator
M-0079,S-F10-NIOVC7,SRC-0010,FREE-11,EG-F11-KIN,NI_CO_OXIDE_GO,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,absorption,isothermal_kinetics,99.85,25,=,500,2.5,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5c
M-0080,S-F10-NIOVC7,SRC-0010,FREE-11,EG-F11-KIN,NI_CO_OXIDE_GO,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,absorption,isothermal_kinetics,149.85,25,=,500,4.81,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5c
M-0081,S-F10-OVC7,SRC-0010,FREE-11,EG-F11-KIN,CO_OXIDE_GO,MgH2,single_hydride,OV-C@GO,carbon_supported_oxide,oxygen-vacancy-rich Co3O4 on graphene oxide,Co3O4|GO,Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,absorption,isothermal_kinetics,149.85,25,=,900,1.68,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5d
M-0083,S-F10-NIOVC7,SRC-0010,FREE-11,EG-F11-KIN,NI_CO_OXIDE_GO,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,324.85,0.0001,<,300,6.5,sample mass,reported,author_reported_text,5,Section 3.2; Fig. S2
M-0084,S-F10-NIC7,SRC-0010,FREE-11,EG-F11-KIN,NI_GO,MgH2,single_hydride,Ni-C@GO,carbon_supported_metal,Ni on graphene oxide,Ni|GO,Ni|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,324.85,0.0001,<,300,6.47,sample mass,reported,author_reported_text,5,Section 3.2; Fig. S2
M-0085,S-F10-OVC7,SRC-0010,FREE-11,EG-F11-KIN,CO_OXIDE_GO,MgH2,single_hydride,OV-C@GO,carbon_supported_oxide,oxygen-vacancy-rich Co3O4 on graphene oxide,Co3O4|GO,Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,324.85,0.0001,<,300,5.32,sample mass,reported,author_reported_text,5,Section 3.2; Fig. S2
M-0086,S-F10-CTRL,SRC-0010,FREE-11,EG-F11-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,324.85,0.0001,<,300,0.23,sample mass,reported,author_reported_text,5,Section 3.2; Fig. S2
M-0087,S-F11-BTO10,SRC-0011,FREE-12,EG-F12-KIN,BI_TI_OXIDE,MgH2,single_hydride,Bi2Ti2O7,bimetallic_oxide,Bi2Ti2O7 hollow spheres; Bi2Mg3 forms in situ,Bi2Ti2O7|Bi2Mg3,Bi|Ti|O|Mg,,10,high-energy ball milling,6,400,60:1,,hollow microspheres,absorption,isothermal_kinetics,200,30,=,1800,5.14,sample mass,reported,author_reported_text,6,Section 3.3; Fig. 3d
M-0088,S-F11-TIO2,SRC-0011,FREE-12,EG-F12-KIN,TI_OXIDE,MgH2,single_hydride,TiO2,oxide,TiO2,TiO2,Ti|O,,10,high-energy ball milling,6,400,60:1,,,absorption,isothermal_kinetics,200,30,=,1800,3.95,sample mass,reported,author_reported_text,6,Section 3.3; Fig. 3d
M-0089,S-F11-BTO10,SRC-0011,FREE-12,EG-F12-KIN,BI_TI_OXIDE,MgH2,single_hydride,Bi2Ti2O7,bimetallic_oxide,Bi2Ti2O7 hollow spheres; Bi2Mg3 forms in situ,Bi2Ti2O7|Bi2Mg3,Bi|Ti|O|Mg,,10,high-energy ball milling,6,400,60:1,,hollow microspheres,desorption,isothermal_kinetics,290,,,900,6.3,sample mass,reported,author_reported_text,7,Section 3.3; Fig. 3e
M-0090,S-F11-CTRL,SRC-0011,FREE-12,EG-F12-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,,,,,,,desorption,isothermal_kinetics,350,,,1200,1.63,sample mass,reported,author_reported_text,7,Section 3.3; Fig. 3e
M-0091,S-F11-BTO10,SRC-0011,FREE-12,EG-F12-KIN,BI_TI_OXIDE,MgH2,single_hydride,Bi2Ti2O7,bimetallic_oxide,Bi2Ti2O7 hollow spheres; Bi2Mg3 forms in situ,Bi2Ti2O7|Bi2Mg3,Bi|Ti|O|Mg,,10,high-energy ball milling,6,400,60:1,,hollow microspheres,absorption,isothermal_kinetics,200,30,=,3600,5.29,sample mass,reported,author_reported_text,7,Section 3.3; Fig. 3f
M-0092,S-F11-CTRL,SRC-0011,FREE-12,EG-F12-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,,,,,,,absorption,isothermal_kinetics,200,30,=,3600,1.66,sample mass,reported,author_reported_text,7,Section 3.3; Fig. 3f
M-0093,S-F12-NINB73,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.7Nb0.3,bimetallic_alloy,Ni0.7Nb0.3 with surface Ni-Nb-O species,Ni0.7Nb0.3|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,desorption,isothermal_kinetics,235,0.01,=,1200,5.15,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3b
M-0094,S-F12-NINB91,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.9Nb0.1,bimetallic_alloy,Ni0.9Nb0.1 with surface Ni-Nb-O species,Ni0.9Nb0.1|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,desorption,isothermal_kinetics,235,0.01,=,1200,4.44,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3b
M-0095,S-F12-NINB73,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.7Nb0.3,bimetallic_alloy,Ni0.7Nb0.3 with surface Ni-Nb-O species,Ni0.7Nb0.3|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,desorption,isothermal_kinetics,250,0.01,=,600,6.18,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3c
M-0096,S-F12-NINB91,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.9Nb0.1,bimetallic_alloy,Ni0.9Nb0.1 with surface Ni-Nb-O species,Ni0.9Nb0.1|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,desorption,isothermal_kinetics,250,0.01,=,600,4.72,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3c
M-0097,S-F12-CTRL,SRC-0012,FREE-14,EG-F14-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,,,,,,,desorption,isothermal_kinetics,350,0.01,=,600,2.47,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3c
M-0098,S-F12-NINB73,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.7Nb0.3,bimetallic_alloy,Ni0.7Nb0.3 with surface Ni-Nb-O species,Ni0.7Nb0.3|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,absorption,isothermal_kinetics,75,30,=,1800,3.7,sample mass,approximately,author_reported_text,6,Section 3.2; Fig. 4b
M-0099,S-F12-NINB73,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.7Nb0.3,bimetallic_alloy,Ni0.7Nb0.3 with surface Ni-Nb-O species,Ni0.7Nb0.3|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,absorption,isothermal_kinetics,125,30,=,600,4.87,sample mass,reported,author_reported_text,6,Section 3.2; Fig. 4d
M-0100,S-F12-NINB91,SRC-0012,FREE-14,EG-F14-KIN,NI_NB_ALLOY,MgH2,single_hydride,Ni0.9Nb0.1,bimetallic_alloy,Ni0.9Nb0.1 with surface Ni-Nb-O species,Ni0.9Nb0.1|Ni-Nb-O,Ni|Nb|O,,10,ball milling,6,400,40:1,,,absorption,isothermal_kinetics,125,30,=,600,4.65,sample mass,reported,author_reported_text,6,Section 3.2; Fig. 4d
M-0101,S-F13-MN,SRC-0013,FREE-15,EG-F15-KIN,MN_TI_MGO,MgH2,single_hydride,MnOx@Ti-MgO,multiphase_oxide,MnOx and Ti species stabilized in MgO,MnOx|Ti-MgO,Mn|Ti|Mg|O,MgO,,high-energy ball milling,20,400,20:1,,,desorption,isothermal_kinetics,280,0.01,=,300,6.03,sample mass,reported,author_reported_text,5,Results; Fig. 2d
M-0102,S-F13-CU,SRC-0013,FREE-15,EG-F15-KIN,CU_TI_MGO,MgH2,single_hydride,CuOx@Ti-MgO,multiphase_oxide,CuOx and Ti species stabilized in MgO,CuOx|Ti-MgO,Cu|Ti|Mg|O,MgO,,high-energy ball milling,20,400,20:1,,,desorption,isothermal_kinetics,280,0.01,=,300,6.14,sample mass,reported,author_reported_text,5,Results; Fig. 2e
M-0103,S-F13-MN,SRC-0013,FREE-15,EG-F15-KIN,MN_TI_MGO,MgH2,single_hydride,MnOx@Ti-MgO,multiphase_oxide,MnOx and Ti species stabilized in MgO,MnOx|Ti-MgO,Mn|Ti|Mg|O,MgO,,high-energy ball milling,20,400,20:1,,,desorption,isothermal_kinetics,180,0.01,=,3600,1.12,sample mass,reported,author_reported_text,5,Results; Fig. 2d
M-0104,S-F13-CU,SRC-0013,FREE-15,EG-F15-KIN,CU_TI_MGO,MgH2,single_hydride,CuOx@Ti-MgO,multiphase_oxide,CuOx and Ti species stabilized in MgO,CuOx|Ti-MgO,Cu|Ti|Mg|O,MgO,,high-energy ball milling,20,400,20:1,,,desorption,isothermal_kinetics,180,0.01,=,3600,0.89,sample mass,reported,author_reported_text,5,Results; Fig. 2e
M-0105,S-F14-FENIS,SRC-0014,FREE-16,EG-F16-KIN,FE_NI_S_C,MgH2,single_hydride,(FeNi)S@PPC,carbon_supported_bimetal_sulfide,FeNi-S coordinated sites on sulfur-self-doped porous petroleum coke carbon,FeNi-S|PPC,Fe|Ni|S|C,porous petroleum coke carbon,10,high-energy ball milling,6,450,50:1,,,desorption,isothermal_kinetics,275,,,1200,4.89,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5a
M-0106,S-F14-FENI,SRC-0014,FREE-16,EG-F16-KIN,FE_NI_C,MgH2,single_hydride,(FeNi)@PPC,carbon_supported_bimetal,FeNi on desulfurized porous petroleum coke carbon,FeNi|PPC,Fe|Ni|C,porous petroleum coke carbon,10,high-energy ball milling,6,450,50:1,,,desorption,isothermal_kinetics,275,,,1200,3.48,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5b
M-0107,S-F14-FEOS,SRC-0014,FREE-16,EG-F16-KIN,FE_O_S_C,MgH2,single_hydride,(FeO)S@PPC,carbon_supported_iron_oxide_sulfide,Fe-O-S sites on porous petroleum coke carbon,FeO|S|PPC,Fe|O|S|C,porous petroleum coke carbon,10,high-energy ball milling,6,450,50:1,,,desorption,isothermal_kinetics,275,,,1200,0.3,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5c
M-0108,S-F14-FENIS,SRC-0014,FREE-16,EG-F16-KIN,FE_NI_S_C,MgH2,single_hydride,(FeNi)S@PPC,carbon_supported_bimetal_sulfide,FeNi-S coordinated sites on sulfur-self-doped porous petroleum coke carbon,FeNi-S|PPC,Fe|Ni|S|C,porous petroleum coke carbon,10,high-energy ball milling,6,450,50:1,,,absorption,isothermal_kinetics,75,,,3600,3.63,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5f
M-0109,S-F14-FENI,SRC-0014,FREE-16,EG-F16-KIN,FE_NI_C,MgH2,single_hydride,(FeNi)@PPC,carbon_supported_bimetal,FeNi on desulfurized porous petroleum coke carbon,FeNi|PPC,Fe|Ni|C,porous petroleum coke carbon,10,high-energy ball milling,6,450,50:1,,,absorption,isothermal_kinetics,75,,,3600,2.37,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5f
M-0110,S-F14-FEOS,SRC-0014,FREE-16,EG-F16-KIN,FE_O_S_C,MgH2,single_hydride,(FeO)S@PPC,carbon_supported_iron_oxide_sulfide,Fe-O-S sites on porous petroleum coke carbon,FeO|S|PPC,Fe|O|S|C,porous petroleum coke carbon,10,high-energy ball milling,6,450,50:1,,,absorption,isothermal_kinetics,75,,,3600,1.03,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5f
M-0111,S-F15-NICNT5,SRC-0015,FREE-17,EG-F17-KIN,NI_CNT,MgH2,single_hydride,Ni@CNT,carbon_supported_metal,Ni-coated carbon nanotubes,Ni|CNT,Ni|C,carbon nanotubes,5,high-energy ball milling,12,450,30:1,,,absorption,isothermal_kinetics,149.85,50,=,200,5.2,sample mass,reported,author_reported_text,8,Section 3.2; Fig. 7c
M-0112,S-F15-NICNT5,SRC-0015,FREE-17,EG-F17-KIN,NI_CNT,MgH2,single_hydride,Ni@CNT,carbon_supported_metal,Ni-coated carbon nanotubes,Ni|CNT,Ni|C,carbon nanotubes,5,high-energy ball milling,12,450,30:1,,,desorption,isothermal_kinetics,299.85,,,1000,3.75,sample mass,reported,author_reported_text,8,Section 3.2; Fig. 7d
M-0113,S-EA-FENI2S4,SRC-0016,EXISTING-A,EG-EA-KIN,FE_NI_SULFIDE,MgH2,single_hydride,FeNi2S4,sulfide,ternary transition-metal sulfide FeNi2S4,FeNi2S4,Fe|Ni|S,,10,ball milling after hydrogenation,5,400,40:1,,,absorption,isothermal_kinetics,199.85,30,=,3600,5.8,sample mass,reported,author_reported_text,5,Section 3.3; Fig. 3a
M-0114,S-EA-FENI2S4,SRC-0016,EXISTING-A,EG-EA-KIN,FE_NI_SULFIDE,MgH2,single_hydride,FeNi2S4,sulfide,ternary transition-metal sulfide FeNi2S4,FeNi2S4,Fe|Ni|S,,10,ball milling after hydrogenation,5,400,40:1,,,absorption,isothermal_kinetics,199.85,30,=,60,4.7,sample mass,reported,author_reported_text,5,Section 3.3; Fig. 3c
M-0115,S-EA-FENI2S4,SRC-0016,EXISTING-A,EG-EA-KIN,FE_NI_SULFIDE,MgH2,single_hydride,FeNi2S4,sulfide,ternary transition-metal sulfide FeNi2S4,FeNi2S4,Fe|Ni|S,,10,ball milling after hydrogenation,5,400,40:1,,,absorption,isothermal_kinetics,99.85,30,=,3600,4.02,sample mass,reported,author_reported_text,5,Section 3.3; Fig. 3d
M-0116,S-EA-CTRL,SRC-0016,EXISTING-A,EG-EA-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,ball milling,5,400,40:1,,,absorption,isothermal_kinetics,199.85,30,=,3600,1.89,sample mass,reported,author_reported_text,5,Section 3.3; Fig. 3a
M-0117,S-EA-CTRL,SRC-0016,EXISTING-A,EG-EA-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,ball milling,5,400,40:1,,,absorption,isothermal_kinetics,99.85,30,=,3600,0.67,sample mass,reported,author_reported_text,5,Section 3.3; Fig. 3d
M-0118,S-EA-FENI2S4,SRC-0016,EXISTING-A,EG-EA-KIN,FE_NI_SULFIDE,MgH2,single_hydride,FeNi2S4,sulfide,ternary transition-metal sulfide FeNi2S4,FeNi2S4,Fe|Ni|S,,10,ball milling after hydrogenation,5,400,40:1,,,absorption,isothermal_kinetics,299.85,30,=,3600,6.09,sample mass,reported,author_reported_text,10,Conclusion
M-0119,S-EA-FENI2S4,SRC-0016,EXISTING-A,EG-EA-KIN,FE_NI_SULFIDE,MgH2,single_hydride,FeNi2S4,sulfide,ternary transition-metal sulfide FeNi2S4,FeNi2S4,Fe|Ni|S,,10,ball milling after hydrogenation,5,400,40:1,,,desorption,isothermal_kinetics,299.85,,,3600,1.92,sample mass,reported,author_reported_text,5,Section 3.3; Fig. 4b
