paper_id,doi,title,year,journal,url,local_filename,access_type,dataset_scope,priority,primary_experimental,has_supplement,downloaded,full_text_verified,notes
EXISTING-D,10.1016/j.jma.2025.09.034,Research advances of magnesium and magnesium alloys globally in 2024,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.09.034,data/phase4_data_sources/reviews_indexes/EXISTING-D__2025__Magnesium_global_review.pdf,open_access_version_of_record,review_index,reference,false,unknown,true,true,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (44 pages). Large magnesium review/index; not a primary training source."
R1,10.1016/j.jma.2025.08.021,From LLM to Agent: A large-language-model-driven machine learning framework for catalyst design of MgH2 dehydrogenation,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.08.021,data/phase4_data_sources/reviews_indexes/R1__2026__LLM_Agent_methodology.pdf,open_access_version_of_record,methodology_only,reference,false,true,true,true,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (17 pages). Machine-learning/agent methodology article; reference only even if it discusses experimental validation. Already present locally although guide lists it as an acquisition reference. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
R2,10.3390/ma16041587,Hydrogen Storage Performance of Mg/MgH2 and Its Improvement Measures: Research Progress and Trends,2023,Materials,https://doi.org/10.3390/ma16041587,,open_access_version_of_record,review_index,reference,false,unknown,false,false,ACCESS-BLOCKED: OA review verified at PMC9966284 and MDPI. Publisher PDF returned 403; PMC PDF returned HTML challenge instead of PDF; rejected. No full PDF acquired.
R3,10.1016/j.jma.2025.08.018,Innovative applications of single-atom catalysts in MgH2/Mg system to build high-efficiency hydrogen storage,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.08.018,data/phase4_data_sources/reviews_indexes/R3__2026__Single_atom_catalyst_review.pdf,open_access_version_of_record,review_index,reference,false,unknown,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (22 pages). Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-11/c4cab2bf-dcd9-4628-bc1d-2bafec0858dc.pdf"
R4,10.3390/coatings16010092,"Fe-Based Catalysts in MgH2 Hydrogen Storage: Mechanistic Insights, Stability Challenges, and a Roadmap for Scalable Design",2026,Coatings,https://doi.org/10.3390/coatings16010092,,open_access_version_of_record,review_index,reference,false,unknown,false,false,ACCESS-BLOCKED: OA review and identity confirmed on MDPI full HTML. PDF route returned 403 and browser download did not produce a file. No PDF acquired.
NOTE-1,,H2-TRIAD Team Decision Map (Arabic),,,,data/phase4_data_sources/notes_nontraining/NOTE-1__Team_Decision_Map_AR.pdf,unknown,project_note,reference,false,false,true,true,Existing project note; readable complete supplied document. Not a journal article or primary experimental source. Proposed catalyst combinations and combined evidence must never become measured training records.
NOTE-2,,Thermokinetic Enhancement of Magnesium Hydride for Rapid and Efficient Hydrogen Storage,,,,data/phase4_data_sources/notes_nontraining/NOTE-2__Hackathon_Project_Proposal.pdf,unknown,project_note,reference,false,false,true,true,Existing project note; readable complete supplied document. Not a journal article or primary experimental source. Proposed catalyst combinations and combined evidence must never become measured training records.
NOTE-3,,Scientific Data Summary: Catalytic Enhancement of Hydrogen Storage in MgH2,,,,data/phase4_data_sources/notes_nontraining/NOTE-3__Hackathon_Scientific_Summary.pdf,unknown,project_note,reference,false,false,true,true,Existing project note; readable complete supplied document. Not a journal article or primary experimental source. Proposed catalyst combinations and combined evidence must never become measured training records.
UNRESOLVED-1,,Unresolved existing link: ?source=oai,,,https://core.ac.uk/outputs/668738614/?source=oai,,unknown,unresolved,unresolved,unknown,unknown,false,false,"Existing link preserved. Exact title, DOI and scientific scope could not be positively established; do not treat as core."
UNRESOLVED-2,,Unresolved existing link: S0360319924000661,,,https://www.sciencedirect.com/science/article/abs/pii/S0360319924000661,,unknown,unresolved,unresolved,unknown,unknown,false,false,"Existing link preserved. Exact title, DOI and scientific scope could not be positively established; do not treat as core."
EXCLUDE-1,,"Critical evaluation of the Fe-Ni, Fe-Ti and Fe-Ni-Ti alloy systems",,,https://www.sciencedirect.com/science/article/abs/pii/S0966979506001178,,unknown,exclude,exclude,false,unknown,false,false,Guide-identified unrelated phase/thermodynamic alloy-system study. Already absent from the original missing-paper list and local PDFs; no file deleted. DOI not verified because excluded from acquisition scope.
